epoch,loss,accuracy
1,0.4023725146597082,96.8705547652916
2,0.36011549491773953,99.71550497866288
3,0.3432377068833871,100.0
4,0.3400172807953574,100.0
5,0.3383281820199706,100.0
6,0.33688025311990216,100.0
7,0.33660269528627396,100.0
8,0.3351153094660152,100.0
9,0.33379909667101776,100.0
10,0.33362690156156366,100.0
11,0.333165436305783,100.0
12,0.33255602622574026,100.0
13,0.33258309960365295,100.0
14,0.3327465118332343,100.0
15,0.3323618979616599,100.0
16,0.33241885019974277,100.0
17,0.33202454244548624,100.0
18,0.33202079886739905,100.0
19,0.33237977664579044,100.0
20,0.3318911391225728,100.0
